Branch Name,District,Branch Code
Head Office,HEAD OFFICE,10001
Adama Branch,ADAMA DISTRICT,10002
Asela Branch,ASELLA DISTRICT,10003
Kersa Main Branch,CENTRAL FINFINE DISTRICT,10004
Hora Arsedi Branch,ADAMA DISTRICT,10005
Shashemene Branch,SHASHEMENE DISTRICT,10006
Nekemte Branch,NEKEMTE DISTRICT,10007
Merkato Branch,CENTRAL FINFINE DISTRICT,10008
Ambo Branch,WESTERN FINFINE DISTRICT,10009
Hawas Branch,ADAMA DISTRICT,10010
Burayu Branch,WESTERN FINFINE DISTRICT,10011
Sheger Branch,CENTRAL FINFINE DISTRICT,10012
Dire Dawa Branch,DIRE DAWA DISTRICT,10013
Seglen Ilu Branch,JIMMA DISTRICT,10014
Bule Hora Branch,HAWASSA DISTRICT,10015
Dambi Dollo Branch,NEKEMTE DISTRICT,10016
Robe Branch,BALE DISTRICT,10017
Torban Obo Branch,ADAMA DISTRICT,10018
Gulele Branch,NORTH FINFINE DISTRICT,10019
Sebeta Ayo Branch,SOUTH FINFINE DISTRICT,10020
Weliso Branch,SOUTH FINFINE DISTRICT,10021
Bole-Nura Hera Branch,ADAMA DISTRICT,10022
Sululta Branch,NORTH FINFINE DISTRICT,10023
Mojo Branch,ADAMA DISTRICT,10024
Arsi Negelle Branch,SHASHEMENE DISTRICT,10025
Kersa Arsi Branch,ASELLA DISTRICT,10026
Bokoji Branch,ASELLA DISTRICT,10027
Eteya Branch,ASELLA DISTRICT,10028
Gimbi Branch,NEKEMTE DISTRICT,10029
Hasasa Branch,SHASHEMENE DISTRICT,10030
Kuyyu Branch,NORTH FINFINE DISTRICT,10031
Sendafa Bake Branch,NORTH FINFINE DISTRICT,10032
Shenen Gibe Branch,JIMMA DISTRICT,10033
Bedessa Branch,CHIRO DISTRICT,10034
Gelan Branch,EASTERN FINFINE DISTRICT,10035
Kolfe Branch,WESTERN FINFINE DISTRICT,10036
Chiro Branch,CHIRO DISTRICT,10037
Jigjiga Branch,DIRE DAWA DISTRICT,10038
Guliso Branch,NEKEMTE DISTRICT,10039
Dilla Branch,HAWASSA DISTRICT,10040
Adola Branch,HAWASSA DISTRICT,10041
Gefersa Branch,WESTERN FINFINE DISTRICT,10042
Meki Branch,ADAMA DISTRICT,10043
Holeta Branch,WESTERN FINFINE DISTRICT,10044
Afren Kelo Branch,DIRE DAWA DISTRICT,10045
Hundene Branch,DIRE DAWA DISTRICT,10046
Babile Branch,DIRE DAWA DISTRICT,10047
Oda Branch,CENTRAL FINFINE DISTRICT,10048
Togo Wuchale Branch,DIRE DAWA DISTRICT,10049
Anger Gute Branch,NEKEMTE DISTRICT,10050
Ginnir Branch,BALE DISTRICT,10051
Odo Shakiso Branch,HAWASSA DISTRICT,10052
Chancho Branch,NORTH FINFINE DISTRICT,10053
Guduru Branch,NEKEMTE DISTRICT,10054
Tulu Bolo Branch,SOUTH FINFINE DISTRICT,10055
Bole Michael Branch,EASTERN FINFINE DISTRICT,10056
Gerji Branch,EASTERN FINFINE DISTRICT,10057
Gedo Branch,WESTERN FINFINE DISTRICT,10058
Robe Dedea Branch,ASELLA DISTRICT,10059
Gidami Branch,NEKEMTE DISTRICT,10060
Gumbichu Branch,ADAMA DISTRICT,10061
Abomsa Branch,ASELLA DISTRICT,10062
Sabian Branch,DIRE DAWA DISTRICT,10063
Bombtera Branch,CENTRAL FINFINE DISTRICT,10064
Shirka Branch,ASELLA DISTRICT,10065
Lega Tafo Branch,NORTH FINFINE DISTRICT,10066
Hawassa Branch,HAWASSA DISTRICT,10067
Gelemso Branch,CHIRO DISTRICT,10068
Uta Wayyu Branch,SHASHEMENE DISTRICT,10069
Karra Qallu Branch,EASTERN FINFINE DISTRICT,10070
Saris Branch,EASTERN FINFINE DISTRICT,10071
Kemise Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10072
Bakannisa Branch,SOUTH FINFINE DISTRICT,10073
Haramaya Branch,DIRE DAWA DISTRICT,10074
Akaki Branch,EASTERN FINFINE DISTRICT,10075
Boku Shenen Branch,ADAMA DISTRICT,10076
Humera Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10077
Ginchi Branch,WESTERN FINFINE DISTRICT,10078
Furi Branch,SOUTH FINFINE DISTRICT,10079
Fiche Branch,NORTH FINFINE DISTRICT,10080
Kotobe Branch,NORTH FINFINE DISTRICT,10081
Kebena Branch,CENTRAL FINFINE DISTRICT,10082
Sebeta Hawas Branch,SOUTH FINFINE DISTRICT,10083
Hirna Branch,CHIRO DISTRICT,10084
Deder Branch,CHIRO DISTRICT,10085
Mekele Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10086
Gonder Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10087
Bethel Branch,WESTERN FINFINE DISTRICT,10088
Bahir Dar Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10089
Dessie Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10090
Guder Branch,WESTERN FINFINE DISTRICT,10091
Sheno Branch,NORTH FINFINE DISTRICT,10092
Hosana Branch,HOSSANA DISTRICT,10093
Wolayita Soddo Branch,HOSSANA DISTRICT,10094
Addisu Gebeya Branch,NORTH FINFINE DISTRICT,10095
Gojam Berenda Branch,CENTRAL FINFINE DISTRICT,10096
Ayer Tena Branch,WESTERN FINFINE DISTRICT,10097
Nedjo Branch,NEKEMTE DISTRICT,10098
Dodola Branch,SHASHEMENE DISTRICT,10099
Hafatessa Branch,DIRE DAWA DISTRICT,10100
Kombolcha Branch,DIRE DAWA DISTRICT,10101
