Branch Name,District,Branch Code
Adama Branch,ADAMA DISTRICT,10002
Adea Branch,ADAMA DISTRICT,10168
Artu Branch,ADAMA DISTRICT,10611
Awash Melkasa Branch,ADAMA DISTRICT,10188
Awash Sebat Kilo,ADAMA DISTRICT,10184
Barecha Branch,ADAMA DISTRICT,10523
Bedhatu Branch,ADAMA DISTRICT,10591
Bilal Branch,ADAMA DISTRICT,10415
Bishoftu Branch,ADAMA DISTRICT,10446
Boku Shenen Branch,ADAMA DISTRICT,10076
Bole-Nura Hera Branch,ADAMA DISTRICT,10022
Bosat Branch,ADAMA DISTRICT,10189
Bote Branch,ADAMA DISTRICT,10191
Burka Branch,ADAMA DISTRICT,10349
Chafe Branch,ADAMA DISTRICT,10285
Dabe Soloke Branch,ADAMA DISTRICT,10326
Dagaga Branch,ADAMA DISTRICT,10514
Dambala Micro Branch,ADAMA DISTRICT,
Derartu Tullu Branch,ADAMA DISTRICT,10267
Dhadacha Arara Branch,ADAMA DISTRICT,10323
Dhaka Adi Branch,ADAMA DISTRICT,10170
Dire Jitu Branch,ADAMA DISTRICT,10609
Ela Bala Branch,ADAMA DISTRICT,10257
Ganda Hara Branch,ADAMA DISTRICT,10350
Gara Baru Branch,ADAMA DISTRICT,10370
Gumbichu Branch,ADAMA DISTRICT,10061
Gurmu Branch,ADAMA DISTRICT,10594
Haro Adi Branch,ADAMA DISTRICT,10372
Hawas Branch,ADAMA DISTRICT,10010
Hora Arsedi Branch,ADAMA DISTRICT,10005
Karayu Branch,ADAMA DISTRICT,10178
Kilole Branch,ADAMA DISTRICT,10171
Kiltu Lume Branch,ADAMA DISTRICT,10351
Koka Branch,ADAMA DISTRICT,10348
Liban Chukala Branch,ADAMA DISTRICT,10432
Lugo Branch,ADAMA DISTRICT,10630
Meki Branch,ADAMA DISTRICT,10043
Mojo Branch,ADAMA DISTRICT,10024
Oda Boqota,ADAMA DISTRICT,10513
Qechema Branch,ADAMA DISTRICT,10280
Qoche Branch,ADAMA DISTRICT,10544
Qurqura Branch,ADAMA DISTRICT,10206
Torban Garba Branch,ADAMA DISTRICT,10592
Torban Obo Branch,ADAMA DISTRICT,10018
Wanji Branch,ADAMA DISTRICT,10278
Abba Jama Branch,ASELLA DISTRICT,10324
Abomsa Branch,ASELLA DISTRICT,10062
Addele Branch,ASELLA DISTRICT,10130
Anole Micro Branch,ASELLA DISTRICT,10366
Arboye Branch,ASELLA DISTRICT,10124
Asela Branch,ASELLA DISTRICT,10003
Badr Branch,ASELLA DISTRICT,10610
Bale Gesgar Branch,ASELLA DISTRICT,10260
Bokoji Branch,ASELLA DISTRICT,10027
Boru Jawi Branch,ASELLA DISTRICT,10325
Chilalo Branch,ASELLA DISTRICT,10254
Chole Branch,ASELLA DISTRICT,10122
Digalu Branch,ASELLA DISTRICT,10521
Diksis Branch,ASELLA DISTRICT,10131
Dodota Branch,ASELLA DISTRICT,10190
Ego Branch,ASELLA DISTRICT,10524
Eteya Branch,ASELLA DISTRICT,10028
Golja Branch,ASELLA DISTRICT,10643
Gololcha Branch,ASELLA DISTRICT,10251
Habe Branch,ASELLA DISTRICT,10135
Huruta Branch,ASELLA DISTRICT,10103
Kersa Arsi Branch,ASELLA DISTRICT,10026
Kula Branch,ASELLA DISTRICT,10234
Meraro Branch,ASELLA DISTRICT,10367
Negelle Arba Gugu Br,ASELLA DISTRICT,10250
Ogolcho Branch,ASELLA DISTRICT,10371
Robe Dedea Branch,ASELLA DISTRICT,10059
Sagure Branch,ASELLA DISTRICT,10134
Salahadin Ali-Ayub,ASELLA DISTRICT,10436
